,Song Title,Artist,Year,Position
36,Heaven,Los Lonely Boys,2004,37
37,It's My Life,No Doubt,2004,38
38,Pieces of Me,Ashlee Simpson,2004,39
39,Leave (Get Out),JoJo,2004,40
40,Milkshake,Kelis,2004,41
41,Splash Waterfalls,Ludacris,2004,42
42,Jesus Walks,Kanye West,2004,43
43,Locked Up,Akon feat. Styles P.,2004,44
44,Stand Up,Ludacris feat. Shawnna,2004,45
45,Suga Suga,Baby Bash feat. Frankie J,2004,46
46,All Falls Down,Kanye West feat. Syleena Johnson,2004,47
47,Toxic,Britney Spears,2004,48
48,Salt Shaker,Ying Yang Twins feat. Lil Jon and The East Side Boyz,2004,49
49,With You,Jessica Simpson,2004,50
50,Meant to Live,Switchfoot,2004,51
51,I Like That,"Houston feat. Chingy, Nate Dogg and I-20",2004,52
52,Sorry 2004,Ruben Studdard,2004,53
53,My Happy Ending,Avril Lavigne,2004,54
54,On Fire,Lloyd Banks,2004,55
55,Roses,OutKast,2004,56
56,Walker outta Heaven,Jagged Edge,2004,57
57,Lose My Breath,Destiny's Child,2004,58
58,My Band,D12,2004,59
59,I'm Still in Love with You,Sean Paul feat. Sasha,2004,60
60,Through the Wire,Kanye West,2004,61
61,Why?,Jadakiss feat. Anthony Hamilton,2004,62
62,F**k It (I Don't Want you Back),Eamon,2004,63
63,Read your Mind,Avant,2004,64
64,Game Over (Flip),Lil' Flip,2004,65
65,One Thing,Finger Eleven,2004,66
66,Headsprung,LL Cool J,2004,67
67,Damn!,YoungBloodZ feat. Lil Jon,2004,68
68,Baby Boy,Beyonce feat. Sean Paul,2004,69
69,Get Low,Lil Jon and The East Side Boyz feat. Ying Yang Twins,2004,70
70,Drop it Like it's Hot,Snoop Dogg feat. Pharrell,2004,71
71,U Should've Known Better,Monica,2004,72
72,On the Way Down,Ryan Cabrera,2004,73
73,Breakaway,Kelly Clarkson,2004,74
74,Why Don't You and I,Santana feat. Alex Band Or Chad Kroeger,2004,75
75,Are You Gonna Be My Girl,Jet,2004,76
76,100 Years,Five For Fighting,2004,77
77,Step In The Name Of Love,R. Kelly,2004,78
78,Breaking the Habit,Linkin Park,2004,79
79,Gigolo,Nick Cannon feat. R. Kelly,2004,80
80,Live Like You Were Dying,Tim McGraw,2004,81
81,Remember When,Alan Jackson,2004,82
82,Everytime,Britney Spears,2004,83
83,Southside,Lloyd feat. Ashanti,2004,84
84,Dude,Beenie Man feat. Ms. Thing,2004,85
85,Wanna Get To Know You,G-Unit feat. Joe,2004,86
86,Holidae In,Chingy feat. Ludacris and Snoop Dogg,2004,87
87,Let's Get It Started,Black Eyed Peas,2004,88
88,When the Sun Goes Down,Kenny Chesney and Uncle Kracker,2004,89
89,American Soldier,Toby Keith,2004,90
90,Change Clothes,Jay-Z,2004,91
91,Don't Tell Me,Avril Lavigne,2004,92
92,You'll Think of Me,Keith Urban,2004,93
93,Happy People,R. Kelly,2004,94
94,Hey Mama,Black Eyed Peas,2004,95
95,Over and Over,Nelly feat. Tim McGraw,2004,96
96,Redneck Woman,Gretchen Wilson,2004,97
97,Just Lose It,Eminem,2004,98
98,Letters from Home,John Michael Montgomery,2004,99
99,I Go Back,Kenny Chesney,2004,100
0,We Belong Together,Mariah Carey,2005,1
1,Hollaback Girl,Gwen Stefani,2005,2
2,Let Me Love You,Mario,2005,3
3,Since U Been Gone,Kelly Clarkson,2005,4
4,"1, 2 Step",Ciara feat. Missy Elliott,2005,5
5,Gold Digger,Kanye West feat. Jamie Foxx,2005,6
6,Boulevard Of Broken Dreams,Green Day,2005,7
7,Candy Shop,50 Cent feat. Olivia,2005,8
8,Don't Cha,Pussycat Dolls feat. Busta Rhymes,2005,9
9,Behind These Hazel Eyes,Kelly Clarkson,2005,10
10,Disco Inferno,50 Cent,2005,11
11,You And Me,Lifehouse,2005,12
12,Don't Phunk With My Heart,Black Eyed Peas,2005,13
13,Lose Control,Missy Elliott feat. Ciara and Fat Man Scoop,2005,14
14,Shake It Off,Mariah Carey,2005,15
15,Mr. Brightside,Killers,2005,16
16,Just A Lil Bit,50 Cent,2005,17
17,Pon de Replay,Rihanna,2005,18
18,How We Do,Game feat. 50 Cent,2005,19
19,Beverly Hills,Weezer,2005,20
20,Oh,Ciara feat. Ludacris,2005,21
21,Lonely No More,Rob Thomas,2005,22
22,Drop It Like It's Hot,Snoop Dogg feat. Pharrell,2005,23
23,Hate It Or Love It,Game feat. 50 Cent,2005,24
24,Lovers And Friends,Lil Jon and The East Side Boyz feat. Usher and Ludacris,2005,25
25,Soldier,Destiny's Child feat. T.I. and Lil Wayne,2005,26
26,Breakaway,Kelly Clarkson,2005,27
27,Switch,Will Smith,2005,28
28,Let Me Hold You,Bow Wow feat. Omarion,2005,29
29,Like You,Bow Wow feat. Ciara,2005,30
30,Rich Girl,Gwen Stefani feat. Eve,2005,31
31,My Humps,Black Eyed Peas,2005,32
32,Obsession (No Es Amor),Frankie J feat. Baby Bash,2005,33
33,Caught Up,Usher,2005,34
34,Listen To Your Heart,D.H.T.,2005,35
35,Scars,Papa Roach,2005,36
36,Feel Good Inc,Gorillaz,2005,37
37,Let Me Go,3 Doors Down,2005,38
38,Holiday,Green Day,2005,39
39,"Sugar, We're Goin' Down",Fall Out Boy,2005,40
40,Grind With Me,Pretty Ricky,2005,41
41,Run It!,Chris Brown,2005,42
42,Photograph,Nickelback,2005,43
43,Lonely,Akon,2005,44
44,Collide,Howie Day,2005,45
45,Wake Me Up When September Ends,Green Day,2005,46
46,Slow Down,Bobby Valentino,2005,47
47,Over And Over,Nelly feat. Tim McGraw,2005,48
48,Some Cut,Trillville feat. Cutty,2005,49
49,Get It Poppin',Fat Joe feat. Nelly,2005,50
50,Play,David Banner,2005,51
51,Soul Survivor,Young Jeezy feat. Akon,2005,52
52,Pimpin' All Over the World,Ludacris feat. Bobby Valentino,2005,53
53,My Boo,Usher And Alicia Keys,2005,54
54,Sugar (Gimme Some),"Trick Daddy feat. Ludacris, Lil' Kim and Cee-Lo",2005,55
55,Karma,Alicia Keys,2005,56
56,Speed Of Sound,Coldplay,2005,57
57,I Don't Want To Be,Gavin DeGraw,2005,58
58,Mockingbird,Eminem,2005,59
59,La Tortura,Shakira feat. Alejandro Sanz,2005,60
60,She Will Be Loved,Maroon 5,2005,61
61,Baby I'm Back,Baby Bash feat. Akon,2005,62
62,Wait (The Whisper Song),Ying Yang Twins,2005,63
63,Incomplete,Backstreet Boys,2005,64
64,Bring Em Out,T.I.,2005,65
65,Cater 2 U,Destiny's Child,2005,66
66,1 Thing,Amerie,2005,67
67,Best Of You,Foo Fighters,2005,68
68,It's Like That,Mariah Carey,2005,69
69,Goin' Crazy,Natalie,2005,70
70,Inside Your Heaven,Carrie Underwood,2005,71
71,Because Of You,Kelly Clarkson,2005,72
72,Truth Is,Fantasia,2005,73
73,Your Body,Pretty Ricky,2005,74
74,Beautiful Soul,Jesse McCartney,2005,75
75,Cool,Gwen Stefani,2005,76
76,Get Back,Ludacris,2005,77
77,Outta Control (Remix),50 Cent feat. Mobb Deep,2005,78
78,U Don't Know Me,T.I.,2005,79
79,These Words,Natasha Bedingfield,2005,80
80,Don't Lie,Black Eyed Peas,2005,81
81,Get Right,Jennifer Lopez,2005,82
82,Daughters,John Mayer,2005,83
83,As Good As I Once Was,Toby Keith,2005,84
84,Girlfight,Brooke Valentine feat. Lil Jon and Big Boi,2005,85
85,Lose My Breath,Destiny's Child,2005,86
86,Ordinary People,John Legend,2005,87
87,We Be Burnin',Sean Paul,2005,88
88,Just The Girl,Click Five,2005,89
89,TRUE,Ryan Cabrera,2005,90
90,O,Omarion,2005,91
91,Back Then,Mike Jones,2005,92
92,Numb/Encore,Jay-Z/Linkin Park,2005,93
93,Wonderful,Ja Rule feat. R. Kelly and Ashanti,2005,94
94,I'm Sprung,T-Pain,2005,95
95,Chariot,Gavin DeGraw,2005,96
96,U Already Know,112 feat. Foxy Brown,2005,97
97,Mississippi Girl,Faith Hill,2005,98
98,Number One Spot,Ludacris,2005,99
99,Give Me That,Webbie feat. Bun B,2005,100
0,Bad Day,Daniel Powter,2006,1
1,Temperature,Sean Paul,2006,2
2,Promiscuous,Nelly Furtado feat. Timbaland,2006,3
3,You're Beautiful,James Blunt,2006,4
4,Hips Don't Lie,Shakira feat. Wyclef Jean,2006,5
5,Unwritten,Natasha Bedingfield,2006,6
6,Crazy,Gnarls Barkley,2006,7
7,Ridin',Chamillionaire feat. Krayzie Bone,2006,8
8,Sexyback,Justin Timberlake,2006,9
9,Check on It,Beyonce feat. Slim Thug,2006,10
10,Be Without You,Mary J. Blige,2006,11
11,Grillz,"Nelly feat. Paul Wall, Ali and Gipp",2006,12
12,Over My Head (Cable Car),Fray,2006,13
13,Me and U,Cassie,2006,14
14,Buttons,Pussycat Dolls feat. Snoop Dogg,2006,15
15,Run It!,Chris Brown,2006,16
16,So Sick,Ne-Yo,2006,17
17,It's Goin' Down,Yung Joc,2006,18
18,SOS,Rihanna,2006,19
19,I Write Sins not Tragedies,Panic! At The Disco,2006,20
20,Move Along,All-American Rejects,2006,21
21,London Bridge,Fergie,2006,22
22,Dani California,Red Hot Chili Peppers,2006,23
23,Snap Yo Fingers,Lil Jon feat. E-40 and Sean Paul Of The YoungBloodZ,2006,24
24,"Lean Wit It, Rock Wit It",Dem Franchize Boyz feat. Lil Peanut and Charlay,2006,25
25,What Hurts the Most,Rascal Flatts,2006,26
26,How to Save a Life,Fray,2006,27
27,Unfaithful,Rihanna,2006,28
28,Chasing Cars,Snow Patrol,2006,29
29,Lips of an Angel,Hinder,2006,30
30,Everytime We Touch,Cascada,2006,31
31,Ain't no Other Man,Christina Aguilera,2006,32
32,"Dance, Dance",Fall Out Boy,2006,33
33,Gold Digger,Kanye West feat. Jamie Foxx,2006,34
34,Money Maker,Ludacris feat. Pharrell,2006,35
35,Ms. New Booty,Bubba Sparxxx feat. Ying Yang Twins and Mr. ColliPark,2006,36
36,(When You Gonna) Give It Up To Me,Sean Paul feat. Keyshia Cole,2006,37
37,Photograph,Nickelback,2006,38
38,Because Of You,Kelly Clarkson,2006,39
39,Stickwitu,Pussycat Dolls,2006,40
40,I'm N Luv (Wit a Stripper),T-Pain feat. Mike Jones,2006,41
41,My Humps,Black Eyed Peas,2006,42
42,Where'd You Go,Fort Minor feat. Holly Brook,2006,43
43,Yo (Excuse Me Miss),Chris Brown,2006,44
44,Walk Away,Kelly Clarkson,2006,45
45,Laffy Taffy,D4L,2006,46
46,What You Know,T.I.,2006,47
47,Dirty Little Secret,All-American Rejects,2006,48
48,Savin' Me,Nickelback,2006,49
49,Don't Forget About Us,Mariah Carey,2006,50
50,Sexy Love,Ne-Yo,2006,51
51,U and Dat,E-40 feat. T-Pain and Kandi Girl,2006,52
52,Far Away,Nickelback,2006,53
53,What's Left of Me,Nick Lachey,2006,54
54,So What,Field Mob feat. Ciara,2006,55
55,Do it to It,Cherish feat. Sean Paul Of The YoungBloodZ,2006,56
56,Black Horse and the Cherry Tree,KT Tunstall,2006,57
57,There it Go! (The Whistle Song),Juelz Santana,2006,58
58,Shoulder Lean!,Young Dro feat. T.I.,2006,59
59,Unpredictable,Jamie Foxx feat. Ludacris,2006,60
60,My Love,Justin Timberlake feat. T.I.,2006,61
61,Shake That,Eminem feat. Nate Dogg,2006,62
62,Pullin' Me Back,Chingy feat. Tyrese,2006,63
63,Bossy,Kelis feat. Too $hort,2006,64
64,Chain Hang Low,Jibbs,2006,65
65,Smack That,Akon feat. Eminem,2006,66
66,One Wish,Ray J,2006,67
67,Sugar We're Goin' Down,Fall Out Boy,2006,68
68,Gimme That,Chris Brown feat. Lil' Wayne,2006,69
69,I Know You See It,Yung Joc feat. Brandy 'Ms. B.' Hambrick,2006,70
70,Who Says you can't Go Home,Bon Jovi,2006,71
71,Too Little Too Late,JoJo,2006,72
72,Touch It,Busta Rhymes,2006,73
73,Rompe,Daddy Yankee,2006,74
74,Deja Vu,Beyonce feat. Jay-Z,2006,75
75,Life is a Highway,Rascal Flatts,2006,76
76,Call me When You're Sober,Evanescence,2006,77
77,"Jesus, take the Wheel",Carrie Underwood,2006,78
78,Show Stopper,Danity Kane,2006,79
79,Get Up,Ciara feat. Chamillionaire,2006,80
80,We be Burnin',Sean Paul,2006,81
81,Hate Me,Blue October,2006,82
82,You And Me,Lifehouse,2006,83
83,Beep,Pussycat Dolls feat. will.i.am,2006,84
84,I Think They Like Me,"Dem Franchize Boyz feat. Jermaine Dupri, Da Brat and Bow Wow",2006,85
85,Say Goodbye,Chris Brown,2006,86
86,Waiting on the World to Change,John Mayer,2006,87
87,Soul Survivor,Young Jeezy feat. Akon,2006,88
88,Pump It,Black Eyed Peas,2006,89
89,When I'm Gone,Eminem,2006,90
90,Hung Up,Madonna,2006,91
91,Stay Fly,Three 6 Mafia feat. Young Buck and Eightball and MJG,2006,92
92,Love,Keyshia Cole,2006,93
93,When You're Mad,Ne-Yo,2006,94
94,Why You Wanna,T.I.,2006,95
95,Stupid Girls,Pink,2006,96
96,Feel Good Inc,Gorillaz,2006,97
97,I'm Sprung,T-Pain,2006,98
98,Do I Make you Proud,Taylor Hicks,2006,99
99,For You I Will (Condience),Teddy Geiger,2006,100
0,Irreplaceable,Beyonce,2007,1
1,Umbrella,Rihanna feat. Jay-Z,2007,2
2,The Sweet Escape,Gwen Stefani feat. Akon,2007,3
3,Big Girls Don't Cry,Fergie,2007,4
4,Buy U A Drank (Shawty Snappin'),T-Pain feat. Yung Joc,2007,5
5,Before He Cheats,Carrie Underwood,2007,6
6,Hey There Delilah,Plain White T's,2007,7
7,I Wanna Love You,Akon feat. Snoop Dogg,2007,8
8,Say It Right,Nelly Furtado,2007,9
9,Glamorous,Fergie feat. Ludacris,2007,10
10,Don't Matter,Akon,2007,11
11,Girlfriend,Avril Lavigne,2007,12
12,Makes Me Wonder,Maroon 5,2007,13
13,Party Like A Rockstar,Shop Boyz,2007,14
14,Smack That,Akon feat. Eminem,2007,15
15,This Is Why I'm Hot,Mims,2007,16
16,It's Not Over,Daughtry,2007,17
17,The Way I Are,Timbaland feat. Keri Hilson,2007,18
18,Fergalicious,Fergie,2007,19
19,Crank That (Soulja Boy),Soulja Boy Tell'em,2007,20
20,Give It To Me,Timbaland feat. Nelly Furtado and Justin Timberlake,2007,21
21,What Goes Around Comes Around,Justin Timberlake,2007,22
22,Cupid's Chokehold/Breakfast In America,Gym Class Heroes feat. Patrick Stump,2007,23
23,How To Save A Life,Fray,2007,24
24,Home,Daughtry,2007,25
25,My Love,Justin Timberlake feat. T.I.,2007,26
26,Stronger,Kanye West,2007,27
27,We Fly High,Jim Jones,2007,28
28,U + Ur Hand,Pink,2007,29
29,Walk It Out,Unk,2007,30
30,Beautiful Girls,Sean Kingston,2007,31
31,"This Ain't A Scene, It's An Arms Race",Fall Out Boy,2007,32
32,Bartender,T-Pain feat. Akon,2007,33
33,"Pop, Lock and Drop It",Huey,2007,34
34,Runaway Love,Ludacris feat. Mary J. Blige,2007,35
35,Rockstar,Nickelback,2007,36
36,Thnks Fr Th Mmrs,Fall Out Boy,2007,37
37,What I've Done,Linkin Park,2007,38
38,Summer Love,Justin Timberlake,2007,39
39,You,Lloyd feat. Lil' Wayne,2007,40
40,Wait For You,Elliott Yamin,2007,41
41,Last Night,Diddy feat. Keyshia Cole,2007,42
42,Make It Rain,Fat Joe feat. Lil Wayne,2007,43
43,Make Me Better,Fabolous feat. Ne-Yo,2007,44
44,Ice Box,Omarion,2007,45
45,Lips Of An Angel,Hinder,2007,46
46,Waiting On The World To Change,John Mayer,2007,47
47,Lost Without U,Robin Thicke,2007,48
48,I'm A Flirt,R. Kelly Or Bow Wow (feat. T.I. and T-Pain),2007,49
49,If Everyone Cared,Nickelback,2007,50
50,Get It Shawty,Lloyd,2007,51
51,Face Down,Red Jumpsuit Apparatus,2007,52
52,The Way I Live,Baby Boy Da Prince feat. Lil Boosie,2007,53
53,Shortie Like Mine,Bow Wow feat. Chris Brown and Johnta Austin,2007,54
54,It Ends Tonight,All-American Rejects,2007,55
55,A Bay Bay,Hurricane Chris,2007,56
56,Because Of You,Ne-Yo,2007,57
57,I Tried,Bone Thugs-N-Harmony feat. Akon,2007,58
58,Welcome To The Black Parade,My Chemical Romance,2007,59
59,Shawty,Plies feat. T-Pain,2007,60
60,Chasing Cars,Snow Patrol,2007,61
61,Beautiful Liar,Beyonce and Shakira,2007,62
62,Sexyback,Justin Timberlake,2007,63
63,Keep Holding On,Avril Lavigne,2007,64
64,Let It Go,Keyshia Cole feat. Missy Elliott and Lil Kim,2007,65
65,Apologize,Timbaland feat. OneRepublic,2007,66
66,Bubbly,Colbie Caillat,2007,67
67,Like A Boy,Ciara,2007,68
68,Who Knew,Pink,2007,69
69,Never Again,Kelly Clarkson,2007,70
70,Promise,Ciara,2007,71
71,Bed,J. Holiday,2007,72
72,Throw Some D's,Rich Boy feat. Polow Da Don,2007,73
73,Rehab,Amy Winehouse,2007,74
74,Big Things Poppin' (Do It),T.I.,2007,75
75,No One,Alicia Keys,2007,76
76,The Great Escape,Boys Like Girls,2007,77
77,2 Step,Unk,2007,78
78,Walk Away (Remember Me),Paula DeAnda feat. The DEY,2007,79
79,Go Getta,Young Jeezy feat. R. Kelly,2007,80
80,Here (In Your Arms),Hellogoodbye,2007,81
81,On The Hotline,Pretty Ricky,2007,82
82,Wind It Up,Gwen Stefani,2007,83
83,Cyclone,Baby Bash feat. T-Pain,2007,84
84,Break It Off,Rihanna and Sean Paul,2007,85
85,First Time,Lifehouse,2007,86
86,Ayo Technology,50 Cent feat. Justin Timberlake and Timbaland,2007,87
87,Outta My System,Bow Wow feat. T-Pain and Johnta Austin,2007,88
88,Teardrops On My Guitar,Taylor Swift,2007,89
89,Shut Up And Drive,Rihanna,2007,90
90,Snow ((Hey Oh)),Red Hot Chili Peppers,2007,91
91,Money Maker,Ludacris feat. Pharrell,2007,92
92,Kiss Kiss,Chris Brown feat. T-Pain,2007,93
93,Far Away,Nickelback,2007,94
94,Rock Yo Hips,Crime Mob feat. Lil Scrappy,2007,95
95,Lovestoned,Justin Timberlake,2007,96
96,Better Than Me,Hinder,2007,97
97,Paralyzer,Finger Eleven,2007,98
98,That's That,Snoop Dogg feat. R. Kelly,2007,99
99,Same Girl,R. Kelly and Usher,2007,100
0,Low,Flo Rida feat. T-Pain,2008,1
1,Bleeding Love,Leona Lewis,2008,2
2,No One,Alicia Keys,2008,3
3,Lollipop,Lil Wayne feat. Static Major,2008,4
4,Apologize,Timbaland feat. OneRepublic,2008,5
5,No Air,Jordin Sparks feat. Chris Brown,2008,6
6,Love Song,Sara Bareilles,2008,7
7,Love In This Club,Usher feat. Young Jeezy,2008,8
8,With You,Chris Brown,2008,9
9,Forever,Chris Brown,2008,10
10,Sexy Can I,Ray J and Yung Berg,2008,11
11,Take A Bow,Rihanna,2008,12
12,Viva La Vida,Coldplay,2008,13
13,I Kissed A Girl,Katy Perry,2008,14
14,Whatever You Like,T.I.,2008,15
15,Disturbia,Rihanna,2008,16
16,Don't Stop the Music,Rihanna,2008,17
17,Pocketful of Sunshine,Natasha Bedingfield,2008,18
18,Kiss Kiss,Chris Brown feat. T-Pain,2008,19
19,Closer,Ne-Yo,2008,20
20,Bubbly,Colbie Caillat,2008,21
21,Touch My Body,Mariah Carey,2008,22
22,4 Minutes,Madonna feat. Justin Timberlake,2008,23
23,So What,Pink,2008,24
24,Paralyzer,Finger Eleven,2008,25
25,Clumsy,Fergie,2008,26
26,I'm Yours,Jason Mraz,2008,27
27,Leavin',Jesse McCartney,2008,28
28,Dangerous,Kardinal Offishall feat. Akon,2008,29
29,Tattoo,Jordin Sparks,2008,30
30,See You Again,Miley Cyrus,2008,31
31,Shake It,Metro Station,2008,32
32,Stop And Stare,OneRepublic,2008,33
33,Take You There,Sean Kingston,2008,34
34,Paper Planes,M.I.A.,2008,35
35,Hot N Cold,Katy Perry,2008,36
36,Live Your Life,T.I. feat. Rihanna,2008,37
37,Bust It Baby Part 2,Plies feat. Ne-Yo,2008,38
38,American Boy,Estelle feat. Kanye West,2008,39
39,Got Money,Lil Wayne feat. T-Pain,2008,40
40,Our Song,Taylor Swift,2008,41
41,Damaged,Danity Kane,2008,42
42,A Milli,Lil Wayne,2008,43
43,Sorry,Buckcherry,2008,44
44,Independent,Webbie feat. Lil' Phat and Lil' Boosie,2008,45
45,Can't Believe It,T-Pain feat. Lil Wayne,2008,46
46,Like You'll Never See Me Again,Alicia Keys,2008,47
47,Teardrops On My Guitar,Taylor Swift,2008,48
48,When I Grow Up,Pussycat Dolls,2008,49
49,Sensual Seduction,Snoop Dogg,2008,50
50,What You Got,Colby O'Donis feat. Akon,2008,51
51,It'S Not My Time,3 Doors Down,2008,52
52,Better In Time,Leona Lewis,2008,53
53,Crank That (Soulja Boy),Soulja Boy Tell'em,2008,54
54,Shadow Of The Day,Linkin Park,2008,55
55,Sweetest Girl (Dollar Bill),"Wyclef Jean feat. Akon, Lil Wayne and Niia",2008,56
56,Miss Independent,Ne-Yo,2008,57
57,Fall For You,Secondhand Serenade,2008,58
58,In The Ayer,Flo Rida feat. will.i.am,2008,59
59,Say,John Mayer,2008,60
60,One Step at A Time,Jordin Sparks,2008,61
61,Hate That I Love You,Rihanna feat. Ne-Yo,2008,62
62,Superstar,Lupe Fiasco feat. Matthew Santos,2008,63
63,Suffocate,J. Holiday,2008,64
64,Let It Rock,Kevin Rudolf feat. Lil Wayne,2008,65
65,Get Like Me,David Banner feat. Chris Brown,2008,66
66,Realize,Colbie Caillat,2008,67
67,Put On,Young Jeezy feat. Kanye West,2008,68
68,The Time Of My Life,David Cook,2008,69
69,Lolli Lolli (Pop That Body),"Three 6 Mafia feat. Project Pat, Young D and Superpower",2008,70
70,Cyclone,Baby Bash feat. T-Pain,2008,71
71,Love Like This,Natasha Bedingfield feat. Sean Kingston,2008,72
72,Burnin' Up,Jonas Brothers,2008,73
73,Love Lockdown,Kanye West,2008,74
74,I Luv Your Girl,The-Dream,2008,75
75,Crush,David Archuleta,2008,76
76,Hypnotized,Plies feat. Akon,2008,77
77,Big Girls Don't Cry,Fergie,2008,78
78,Good Life,Kanye West feat. T-Pain,2008,79
79,Womanizer,Britney Spears,2008,80
80,Love Story,Taylor Swift,2008,81
81,Just Fine,Mary J. Blige,2008,82
82,Piece Of Me,Britney Spears,2008,83
83,The Boss,Rick Ross feat. T-Pain,2008,84
84,All Summer Long,Kid Rock,2008,85
85,Can't Help But Wait,Trey Songz,2008,86
86,In Love With A Girl,Gavin DeGraw,2008,87
87,My Life,Game feat. Lil Wayne,2008,88
88,I Remember,Keyshia Cole,2008,89
89,Flashing Lights,Kanye West feat. Dwele,2008,90
90,Mrs. Officer,Lil Wayne feat. Bobby Valentino and Kidd Kidd,2008,91
91,7 Things,Miley Cyrus,2008,92
92,You're Gonna Miss This,Trace Adkins,2008,93
93,Love Remains The Same,Gavin Rossdale,2008,94
94,Feels Like Tonight,Daughtry,2008,95
95,The Way I Are,Timbaland feat. Keri Hilson,2008,96
96,Addicted,Saving Abel,2008,97
97,Into The Night,Santana feat. Chad Kroeger,2008,98
98,Heaven Sent,Keyshia Cole,2008,99
99,She Got It,2 Pistols feat. T-Pain and Tay Dizm,2008,100
0,Boom Boom Pow,Black Eyed Peas,2009,1
1,Poker Face,Lady Gaga,2009,2
2,Just Dance,Lady Gaga feat. Colby O'Donis,2009,3
3,I Gotta Feeling,Black Eyed Peas,2009,4
4,Love Story,Taylor Swift,2009,5
5,Right Round,Flo Rida,2009,6
6,I'm Yours,Jason Mraz,2009,7
7,Single Ladies (Put A Ring On It),Beyonce,2009,8
8,Heartless,Kanye West,2009,9
9,Gives You Hell,All-American Rejects,2009,10
10,You Belong With Me,Taylor Swift,2009,11
11,Dead And Gone,T.I. feat. Justin Timberlake,2009,12
12,You Found Me,Fray,2009,13
13,Use Somebody,Kings Of Leon,2009,14
14,Knock You Down,Keri Hilson feat. Kanye West and Ne-Yo,2009,15
15,Blame It,Jamie Foxx feat. T-Pain,2009,16
16,I Know You Want Me (Calle Ocho),Pitbull,2009,17
17,Live Your Life,T.I. feat. Rihanna,2009,18
18,Kiss Me Thru The Phone,Soulja Boy Tell 'em feat. Sammie,2009,19
19,Down,Jay Sean feat. Lil Wayne,2009,20
20,The Climb,Miley Cyrus,2009,21
21,Best I Ever Had,Drake,2009,22
22,My Life Would Suck Without You,Kelly Clarkson,2009,23
23,Halo,Beyonce,2009,24
24,Hot n Cold,Katy Perry,2009,25
25,Second Chance,Shinedown,2009,26
26,Circus,Britney Spears,2009,27
27,Day 'n' Nite,Kid Cudi,2009,28
28,Party in the U.S.A.,Miley Cyrus,2009,29
29,Don't Trust Me,3OH!3,2009,30
30,Run This Town,"Jay-Z, Rihanna and Kanye West",2009,31
31,Let It Rock,Kevin Rudolf feat. Lil Wayne,2009,32
32,Fire Burning,Sean Kingston,2009,33
33,Whatcha Say,Jason DeRulo,2009,34
34,Lovegame,Lady Gaga,2009,35
35,Waking Up In Vegas,Katy Perry,2009,36
36,Birthday Sex,Jeremih,2009,37
37,Sober,Pink,2009,38
38,Womanizer,Britney Spears,2009,39
39,Whatever You Like,T.I.,2009,40
40,Obsessed,Mariah Carey,2009,41
41,Mad,Ne-Yo,2009,42
42,Good Girls Go Bad,Cobra Starship feat. Leighton Meester,2009,43
43,Love Lockdown,Kanye West,2009,44
44,So What,Pink,2009,45
45,Hotel Room Service,Pitbull,2009,46
46,Crack A Bottle,"Eminem, Dr. Dre and 50 Cent",2009,47
47,If I Were A Boy,Beyonce,2009,48
48,Turning Me On,Keri Hilson feat. Lil Wayne,2009,49
49,I Hate This Part,Pussycat Dolls,2009,50
50,Gotta Be Somebody,Nickelback,2009,51
51,Please Don't Leave Me,Pink,2009,52
52,Paparazzi,Lady Gaga,2009,53
53,Beautiful,Akon feat. Colby O'Donis and Kardinal Offishall,2009,54
54,Viva la Vida,Coldplay,2009,55
55,Right Now (Na Na Na),Akon,2009,56
56,Battlefield,Jordin Sparks,2009,57
57,Sugar,Flo Rida feat. Wynter,2009,58
58,Miss Independent,Ne-Yo,2009,59
59,Fireflies,Owl City,2009,60
60,New Divide,Linkin Park,2009,61
61,Empire State Of Mind,Jay-Z + Alicia Keys,2009,62
62,No Surprise,Daughtry,2009,63
63,She Wolf,Shakira,2009,64
64,Break Up,Mario feat. Gucci Mane and Sean Garrett,2009,65
65,Sweet Dreams,Beyonce,2009,66
66,Every Girl,Young Money,2009,67
67,Fallin' For You,Colbie Caillat,2009,68
68,Untouched,Veronicas,2009,69
69,If Today Was Your Last Day,Nickelback,2009,70
70,Throw It In The Bag,Fabolous feat. The-Dream,2009,71
71,Love Drunk,Boys Like Girls,2009,72
72,I Love College,Asher Roth,2009,73
73,If U Seek Amy,Britney Spears,2009,74
74,Big Green Tractor,Jason Aldean,2009,75
75,White Horse,Taylor Swift,2009,76
76,Disturbia,Rihanna,2009,77
77,21 Guns,Green Day,2009,78
78,Turn My Swag On,Soulja Boy Tell'em,2009,79
79,Rockin' That Thang,The-Dream,2009,80
80,Chicken Fried,Zac Brown Band,2009,81
81,Diva,Beyonce,2009,82
82,Replay,Iyaz,2009,83
83,Then,Brad Paisley,2009,84
84,Her Diamonds,Rob Thomas,2009,85
85,How Do You Sleep?,Jesse McCartney feat. Ludacris,2009,86
86,3,Britney Spears,2009,87
87,Forever,"Drake feat. Kanye West, Lil Wayne and Eminem",2009,88
88,One Time,Justin Bieber,2009,89
89,I Run To You,Lady Antebellum,2009,90
90,I Do Not Hook Up,Kelly Clarkson,2009,91
91,Green Light,John Legend feat. Andre 3000,2009,92
92,People Are Crazy,Billy Currington,2009,93
93,Whatever It Is,Zac Brown Band,2009,94
94,Already Gone,Kelly Clarkson,2009,95
